chr.names	query.population	reference.population	relative.distances.ks.p.value	relative.distances.ecdf.deviation.area	relative.distances.ecdf.area.correlation	relative.distances.ecdf.deviation.area.p.value	scaled.absolute.min.distance.sum.p.value	scaled.absolute.min.distance.sum.lower.tail	jaccard.measure.p.value	jaccard.measure.lower.tail	projection.test.p.value	projection.test.lower.tail	projection.test.obs.to.exp	lnc
chr6	1	1	0.00145498419584023	0.25	-0.9985450158041601	0.0	0.001	False	0.001	False	0.000220033281153498	False	0.0	ENSG00000281530
awhole	2	2	0.325584599466442	0.117829280420532	0.355621789524389	0.39299999999999996	0.205	True	0.0	False	6.64053150289945e-06	False	0.0	ENSG00000260796
awhole	3	25	0.5517434983756511	0.0877986272295182	0.23949878875460998	0.47100000000000003	0.32899999999999996	True	0.001	False	0.0005305873790568679	False	0.0	ENSG00000278876
awhole	6	3	0.645585541929789	0.042830340776434	-0.0725077727196575	0.8109999999999999	0.4	False	0.0	False	0.00013714261677222298	False	0.0	ENSG00000255857
awhole	18	6	0.304005015100365	0.0412667091079385	0.18172791374568398	0.313	0.048	True	0.0	False	0.00027036909819711	False	0.0	ENSG00000249996
awhole	3	7	0.814299735614275	0.0592184493662462	-0.05963769425887901	0.8490000000000001	0.41	False	0.0	False	0.000145177776042282	False	0.0	ENSG00000272909
chr13	4	1	0.39255405807382004	0.0733267874516511	0.22893384202808398	0.451	0.207	True	0.0	False	8.32424799668274e-06	False	0.0	ENSG00000236859
awhole	819	4	0.0	0.0512628400046422	0.199871306919198	0.0	0.0	True	0.032	False	0.0212796711545202	False	0.0	ENSG00000235531
awhole	56	12	0.015416335598199	0.0510219259789176	0.134213307032353	0.00900000000000001	0.047	True	0.002	False	0.00178036337749532	False	0.0	ENSG00000224959
awhole	42	17	0.0288825781010826	0.054915594021489	0.215308029802523	0.015	0.004	True	0.0	False	0.0006249715749637731	False	0.0	ENSG00000256139
awhole	3	50	0.138209111960612	0.10941718017434901	0.41144154790384097	0.267	0.336	True	0.0060000000000000105	False	0.0043458149232843395	False	0.0	ENSG00000259006
awhole	4	4	0.45994661784574004	0.0738420070139174	0.0670940047419124	0.47	0.405	True	0.001	False	0.000291741793995492	False	0.0	ENSG00000278879
chr5	1	3	0.8412983679170029	0.127915314424191	-0.15870163208299698	0.831	0.26899999999999996	True	0.001	False	8.61801808951235e-05	False	0.0	ENSG00000277142
chr6	4	1	0.296768735769266	0.104835295844416	-0.413660059874134	0.179	0.087	False	0.0	False	9.226811357399e-06	False	0.0	ENSG00000230084
awhole	3	177	0.47157826696613697	0.0767413392017277	-0.259788488725173	0.59	0.425	False	0.008000000000000009	False	0.00536413949831538	False	0.0	ENSG00000236901
awhole	153	4	0.390672229425045	0.0133704006835919	-0.00883572447012115	0.341	0.41100000000000003	False	0.002	False	0.00121737155631019	False	0.0	ENSG00000206337
awhole	3	118	0.760890417435192	0.0597098200995941	-0.07549365809347999	0.833	0.312	False	0.01	False	0.004688351624710711	False	0.0	ENSG00000261087
chr1	1	7	0.985417514990893	0.125056271461862	0.0145824850091065	0.961	0.385	False	0.0	False	8.7220083842654e-05	False	0.0	ENSG00000204261
awhole	11	2	0.13971067117967997	0.0745290537788042	-0.292353532639182	0.1	0.040999999999999995	False	0.0	False	0.000170933806271423	False	0.0	ENSG00000261889
chr15	1	7	0.6882139449268989	0.137204812769251	0.311786055073101	0.6659999999999999	0.132	True	0.0	False	0.000167416422608868	False	0.0	ENSG00000279212
