chr.names	query.population	reference.population	relative.distances.ks.p.value	relative.distances.ecdf.deviation.area	relative.distances.ecdf.area.correlation	relative.distances.ecdf.deviation.area.p.value	scaled.absolute.min.distance.sum.p.value	scaled.absolute.min.distance.sum.lower.tail	jaccard.measure.p.value	jaccard.measure.lower.tail	projection.test.p.value	projection.test.lower.tail	projection.test.obs.to.exp	lnc
awhole	2326	43	4.16147232908948e-05	0.0121466070621004	0.0490828927580074	0.0	0.0	True	0.2	False	0.20588223700027697	False	0.0	ENSG00000246273
awhole	9	9	0.0416742909780479	0.0765176319370483	0.25764805368413696	0.133	0.068	True	0.003	False	0.00381367791572162	False	0.0	ENSG00000218537
awhole	37	14	0.656473669875424	0.0198777722295849	0.0559026165200083	0.64	0.221	True	0.004	False	0.0012227000925451	False	0.0	ENSG00000258325
chr1	6	1	0.911240421980266	0.036845492186812004	0.0684490503589688	0.9109999999999999	0.385	True	0.0	False	6.157546191776221e-05	False	0.0	ENSG00000255198
chr1	3	1	0.9671234989013671	0.0486366404166977	-2.8449423436383e-05	0.9590000000000001	0.474	False	0.0	False	5.94078698312739e-06	False	0.0	ENSG00000231770
chr3	2	1	0.0236869857349089	0.21731555282717	-0.868928592596469	0.015	0.016	False	0.0	False	2.71311993982337e-06	False	0.0	ENSG00000177337
awhole	2102	551	0.0	0.0276626840988521	0.11074730046144599	0.0	0.0	True	0.14800000000000002	False	0.322414568639636	False	1.0797230757632499	ENSG00000235531
chr6	4	1	0.7595436870486791	0.0659097283402523	0.19781554309641602	0.59	0.252	True	0.0	False	6.32281374803867e-05	False	0.0	ENSG00000249700
chr8	1	7	0.8893899812081542	0.126942596007983	0.110610018791846	0.8420000000000001	0.34299999999999997	False	0.001	False	0.000254480826180625	False	0.0	ENSG00000254028
awhole	57	14	0.005015014170784321	0.0418385318842519	0.16319618623893697	0.024	0.077	True	0.003	False	0.0063677411123291795	False	0.0	ENSG00000224959
chr2	1	1	0.0339230450702916	0.24174449657276897	-0.9660769549297079	0.038	0.00900000000000001	False	0.0	False	6.91182793732814e-06	False	0.0	ENSG00000276698
