chr.names	query.population	reference.population	relative.distances.ks.p.value	relative.distances.ecdf.deviation.area	relative.distances.ecdf.area.correlation	relative.distances.ecdf.deviation.area.p.value	scaled.absolute.min.distance.sum.p.value	scaled.absolute.min.distance.sum.lower.tail	jaccard.measure.p.value	jaccard.measure.lower.tail	projection.test.p.value	projection.test.lower.tail	projection.test.obs.to.exp	lnc
awhole	875	6	4.230504835334161e-12	0.0366559614545712	0.14611739581451902	0.0	0.0	True	0.018	False	0.0256320008366373	False	0.0	ENSG00000246273
chr2	1	1	0.7349899839809508	0.133604461047144	-0.265010016019049	0.7440000000000001	0.368	False	0.0	False	5.39155610552733e-05	False	0.0	ENSG00000267278
awhole	2	3	0.821403752760404	0.08213357093330799	-0.28186946469295004	0.764	0.33899999999999997	True	0.0	False	0.00017213831057905101	False	0.0	ENSG00000247134
awhole	64	58780	0.16189005350565802	0.0319933686551251	0.12637831331789098	0.099	0.066	True	0.086	False	0.0036592967966901898	False	1.97738991519994	ENSG00000177337
awhole	2069	165	8.23218841872198e-07	0.0174007337665414	0.0699939277955055	0.0	0.0	True	0.326	True	0.35417578042727904	True	0.0	ENSG00000235531
chr1	21	1	0.8913087127857829	0.0181517549782654	0.00462236873308042	0.919	0.499	True	0.0	False	2.47992280750786e-05	False	0.0	ENSG00000177738
chr1	5	1	0.590651683444844	0.0590856563884291	-0.21938646595748398	0.5720000000000001	0.193	False	0.0	False	4.1532683255684996e-05	False	0.0	ENSG00000261888
chr2	6	1	0.541807879575684	0.0594914886808022	0.1849133522198	0.46	0.20199999999999999	True	0.0	False	7.9049879858184e-05	False	0.0	ENSG00000261067
awhole	2	7	0.28799065968558196	0.130510439242467	0.48811716135752203	0.31	0.091	True	0.0	False	0.000478915444029004	False	0.0	ENSG00000234155
awhole	39	6	0.305279104674008	0.0248787368653164	-0.0974864011924768	0.42100000000000004	0.153	False	0.002	False	0.0006802966903123321	False	0.0	ENSG00000279030
awhole	4	3	0.7827028708739651	0.0568441376159191	0.0033908119746066698	0.74	0.493	True	0.0	False	0.000148248307023202	False	0.0	ENSG00000256139
awhole	13	3	0.6845063725800841	0.0319177999251403	0.0996752852330731	0.675	0.281	True	0.0	False	0.000121976915555821	False	0.0	ENSG00000215244
awhole	5	28	0.155638041640849	0.085499536428208	-0.251742342098121	0.24600000000000002	0.105	False	0.00600000000000001	False	0.00346773917610255	False	0.0	ENSG00000259485
awhole	2	152	0.315128659813513	0.120526569474495	0.325522906278454	0.363	0.145	True	0.0060000000000000105	False	0.00716341920071439	False	0.0	ENSG00000276851
chr10	5	1	0.613989262229824	0.0622306948340798	-0.0107819954856827	0.528	0.48	False	0.001	False	0.000616899965241613	False	0.0	ENSG00000260804
awhole	69	16941	0.976901991586381	0.00965672450780323	-0.0280395631029127	0.9259999999999999	0.08199999999999999	True	0.012	False	0.0013804043739751302	False	2.19582838950432	ENSG00000260448
awhole	11	3	0.5431832356759241	0.0445828629585882	-0.0653021626668633	0.466	0.326	False	0.0	False	0.00021273210267991298	False	0.0	ENSG00000236753
chr4	1	1	0.641296845028499	0.14104708859339402	0.358703154971501	0.627	0.293	True	0.0	False	1.4930508340782499e-06	False	0.0	ENSG00000267666
awhole	2	2	0.667261831516788	0.0882748795566882	-0.103173521034104	0.6729999999999999	0.42700000000000005	False	0.0	False	4.4242681089823304e-06	False	0.0	ENSG00000203999
chr5	1	1	0.27186300161664495	0.19129124999331895	0.728136998383355	0.264	0.16399999999999998	True	0.0	False	3.42627500904413e-06	False	0.0	ENSG00000277142
awhole	142	58202	0.486703232775742	0.0138749219148591	0.0362585075069572	0.365	0.005	True	0.00900000000000001	False	0.00275902140079753	False	1.4961704140964198	ENSG00000230084
awhole	6	4	0.7556928062334549	0.0466448279702162	-0.102366330761266	0.718	0.349	False	0.0	False	0.000502983449365724	False	0.0	ENSG00000259820
chr1	1	1	0.329925138464594	0.18142655297263702	-0.6700748615354061	0.305	0.147	False	0.0	False	5.26999861849564e-06	False	0.0	ENSG00000275216
awhole	4	122	0.926248968998504	0.0421860622063079	-0.0788184409376655	0.9520000000000001	0.311	True	0.005	False	0.008359740135625241	False	0.0	ENSG00000259863
awhole	2	184	0.297325718920788	0.144085665686116	0.573025468298376	0.235	0.062	True	0.01	False	0.00930690695109782	False	0.0	ENSG00000243069
chr2	2	1	0.21308758105410397	0.137502137043264	0.464240128397485	0.235	0.133	True	0.0	False	1.96701232788588e-05	False	0.0	ENSG00000240405
awhole	1488	1215	9.76366685486729e-05	0.0149407591327689	0.0596563398818328	0.0	0.0	True	0.308	True	0.30137738116149704	True	0.5546620607924829	ENSG00000228526
awhole	3	150	0.0008595347250474059	0.23056170227064798	-0.9205254444334721	0.001	0.38799999999999996	True	0.012	False	0.0112061357216615	False	0.0	ENSG00000204261
awhole	25	6	0.587664907440689	0.0274828785670431	-0.0297598370089125	0.522	0.39399999999999996	False	0.0	False	0.000206097223915847	False	0.0	ENSG00000261889
awhole	138	42045	0.0564502472971141	0.0274145976834311	0.10974666615672501	0.032	0.001	True	0.008000000000000009	False	0.0026370373814768	False	1.5434274850570402	ENSG00000236671
awhole	34319	864	0.0	0.0105537882542874	0.0421490616281948	0.0	0.0	True	0.008000000000000009	False	2.78690470700838e-09	False	1.5345848635063501	ENSG00000255717
awhole	12	6	0.549358640307649	0.0402602327150856	-0.0406773762437804	0.552	0.321	False	0.0	False	6.09246383456163e-05	False	0.0	ENSG00000271538
chr18	1	59	0.5456459760512079	0.15064096177804	0.4543540239487921	0.565	0.455	False	0.00900000000000001	False	0.0156664369261503	False	0.0	ENSG00000254872
chr7	1	3537	0.46954900361263296	0.16056233199640196	-0.530450996387367	0.469	0.292	True	0.0	False	0.0	False	6.423357870495219	ENSG00000278733
awhole	12	10	0.764749382671504	0.0290763447361657	0.0228314056081076	0.8109999999999999	0.475	True	0.0	False	0.000516574236936629	False	0.0	ENSG00000268912
awhole	9	2	0.34399084629731796	0.048426272869836	-0.11346627534396302	0.484	0.306	False	0.0	False	3.6263984862672204e-05	False	0.0	ENSG00000254951
awhole	30	8365	0.0803408799324749	0.0400622800226115	0.126745391549865	0.161	0.04	True	0.095	False	0.00980990448449159	False	2.99547108004152	ENSG00000229153
chr2	1	34	0.860806378461834	0.126942596007983	-0.139193621538166	0.858	0.445	False	0.003	False	0.00346875906829036	False	0.0	ENSG00000249395
awhole	2	4	0.8043968294691201	0.0802190534007805	-0.25992333065483897	0.7609999999999999	0.381	False	0.0	False	9.437725551308951e-05	False	0.0	ENSG00000267547
chr1	1	15	0.840258768091353	0.127915314424191	-0.159741231908647	0.8370000000000001	0.127	True	0.0	False	0.00027771125341769	False	0.0	ENSG00000236120
awhole	4	4	0.0252820887828333	0.137905772798339	0.45720334226698295	0.0610000000000001	0.019	True	0.001	False	0.000401677181068982	False	0.0	ENSG00000233251
chr8	28	1	0.442098732251969	0.026179536167391004	0.0981834425436618	0.505	0.17300000000000001	True	0.001	False	0.00044689699444922003	False	0.0	ENSG00000232104
chr8	26	1	0.00014267327121142399	0.0920055422120454	0.36544004832625104	0.001	0.0	True	0.0	False	0.000190944715627417	False	0.0	ENSG00000279041
chr6	1	1	0.572987658704851	0.147428345153682	-0.427012341295149	0.601	0.294	False	0.0	False	9.74204773007692e-06	False	0.0	ENSG00000267243
chrX	9	3	0.273068677277639	0.0612263992661756	-0.244207100381518	0.293	0.022000000000000002	False	0.001	False	0.00047567852727570194	False	0.0	ENSG00000245573
chr7	26	1	0.5641449203534711	0.0249448260133333	-0.0751237758223495	0.593	0.257	False	0.0	False	4.3727829323048104e-05	False	0.0	ENSG00000247092
awhole	4	6	0.21180993958024102	0.10769900270702198	0.42860835011973203	0.172	0.078	True	0.0	False	0.000118222897876885	False	0.0	ENSG00000267470
