chr.names	query.population	reference.population	relative.distances.ks.p.value	relative.distances.ecdf.deviation.area	relative.distances.ecdf.area.correlation	relative.distances.ecdf.deviation.area.p.value	scaled.absolute.min.distance.sum.p.value	scaled.absolute.min.distance.sum.lower.tail	jaccard.measure.p.value	jaccard.measure.lower.tail	projection.test.p.value	projection.test.lower.tail	projection.test.obs.to.exp	lnc
awhole	268	313	0.0010785734925618	0.0309436607613017	0.126400978028572	0.0	0.0	True	0.082	False	0.0663662970161509	False	0.0	ENSG00000230630_ASO_G0230630_AD_04
awhole	82	47	0.40352676716547997	0.0150461428168347	0.0464984776975323	0.513	0.14	True	0.005	False	0.00219823664795937	False	0.0	ENSG00000221817_ASO_G0221817_04
awhole	571	1686	0.0059513907900730105	0.0144160472993879	0.0552338688168899	0.022000000000000002	0.0	True	0.077	False	0.0159294319077088	False	3.84301830348913	ENSG00000225733_ASO_G0225733_AD_03
awhole	571	1686	0.0059513907900730105	0.0144160472993879	0.0552338688168899	0.013000000000000001	0.0	True	0.077	False	0.0159294319077088	False	3.84301830348913	ENSG00000225733_ASO_G0225733_04
awhole	571	1686	0.0059513907900730105	0.0144160472993879	0.0552338688168899	0.015	0.0	True	0.0679999999999999	False	0.0159294319077088	False	3.84301830348913	ENSG00000225733_ASO_G0225733_AD_06
awhole	1926	260	1.5941433599286903e-05	0.0137800891130973	0.0543786392752414	0.0	0.0	True	0.328	False	0.24591372000416	False	0.0	ENSG00000245937_ASO_G0245937_AD_02
awhole	3921	3174	3.33066907387547e-16	0.0184754379373252	0.0741454654905971	0.0	0.0	True	0.013000000000000001	False	4.61468588521807e-05	False	2.7023895057980196	ENSG00000237187_ASO_G0237187_AD_01
awhole	294	1751	0.12243432471270199	0.0160723384927321	0.063301129362376	0.053	0.0	True	0.029	False	0.00397542838804399	False	6.41369083088526	ENSG00000204054_ASO_G0204054_06
awhole	2575	442	2.30458920169596e-07	0.0160138673859554	0.0642499702248978	0.0	0.0	True	0.43700000000000006	False	0.40841772881559	False	0.0	ENSG00000246273_ASO_G0246273_02
awhole	44	1815	0.0124861560016459	0.054702007582255	0.21820548284321498	0.008000000000000009	0.002	True	0.002	False	0.00198023378896117	False	15.387666979205802	ENSG00000257219_ASO_G0257219_09
awhole	47	374	0.865218806431968	0.015943652386761004	-0.0418294243843282	0.741	0.348	True	0.00800000000000001	False	0.00702811515757473	False	0.0	ENSG00000212978_ASO_G0212978_03
