chr.names	query.population	reference.population	relative.distances.ks.p.value	relative.distances.ecdf.deviation.area	relative.distances.ecdf.area.correlation	relative.distances.ecdf.deviation.area.p.value	scaled.absolute.min.distance.sum.p.value	scaled.absolute.min.distance.sum.lower.tail	jaccard.measure.p.value	jaccard.measure.lower.tail	projection.test.p.value	projection.test.lower.tail	projection.test.obs.to.exp	lnc
chr8	4	1	0.6932555447091862	0.0766787492574533	0.24089761667596202	0.457	0.214	True	0.0	False	7.68071080863297e-05	False	0.0	ENSG00000258325
chr2	1	1	0.33558804124779107	0.18022292461200604	0.6644119587522089	0.327	0.193	True	0.0	False	3.07274931362622e-05	False	0.0	ENSG00000262903
awhole	3	2	0.388202138812904	0.0916831300771994	0.19245634354063199	0.42	0.313	True	0.0	False	4.88126274800216e-05	False	0.0	ENSG00000255198
awhole	14	33	0.0488048528348635	0.0944352528393376	0.374983318564284	0.013000000000000001	0.027000000000000003	True	0.0	False	0.0006398848460313911	False	0.0	ENSG00000273084
chr19	1	1	0.383554083809891	0.172142936043015	0.616445916190109	0.41200000000000003	0.198	True	0.0	False	6.63623030994209e-06	False	0.0	ENSG00000277782
awhole	3	4	0.166959969034254	0.112411329100075	0.337508833733552	0.251	0.177	True	0.0	False	1.76352268752566e-05	False	0.0	ENSG00000267278
awhole	14	3	0.22983616124553402	0.0502057172493736	-0.19962065547142602	0.255	0.087	False	0.0	False	9.14721933946705e-05	False	0.0	ENSG00000236859
awhole	38	3	0.541393019873523	0.0219658254194716	0.0695689244906981	0.513	0.22	True	0.001	False	0.0010197144529459099	False	0.0	ENSG00000255036
chr7	2	1	0.894791399983808	0.0748737012372859	0.22014406978455603	0.836	0.27699999999999997	True	0.0	False	3.63987530582754e-06	False	0.0	ENSG00000279349
awhole	2102	1116	0.000419396079222922	0.0126171447500947	0.0506184666325034	0.0	0.0	True	0.18899999999999997	False	0.0425121361022247	False	2.12605797334206	ENSG00000235531
chr8	1	191	0.6383484919828512	0.14157281249832998	0.36165150801714896	0.629	0.452	True	0.001	False	0.0044340777737500395	False	0.0	ENSG00000254028
awhole	3	9	0.292609161332469	0.0903821903693063	0.318473305373291	0.45299999999999996	0.35	True	0.0	False	4.35892439700769e-05	False	0.0	ENSG00000276698
awhole	2	14	0.9741817984029929	0.0644432477776147	0.081607958499136	0.975	0.499	True	0.0	False	0.000185218708181445	False	0.0	ENSG00000279086
awhole	59	21	0.6211217949565079	0.0162975981538702	0.0346940984451933	0.595	0.376	False	0.001	False	0.0012013385832188	False	0.0	ENSG00000260804
awhole	27	728	0.408562861748176	0.0205216524676742	0.0627371061279787	0.7490000000000001	0.309	True	0.005	False	0.00582368952983092	False	0.0	ENSG00000225092
awhole	16	16	0.8529948329444259	0.0261978245447261	0.0244203631804043	0.785	0.08900000000000001	True	0.001	False	0.00027895334217786804	False	0.0	ENSG00000245648
chr6	2	1	0.0328804766840307	0.21539705288558397	0.859542867641653	0.023	0.008	True	0.0	False	5.0559651898041104e-05	False	0.0	ENSG00000260063
awhole	6	3	0.273601643989248	0.0707295468156554	0.251264074748733	0.332	0.10400000000000001	True	0.0	False	1.8796539353660398e-05	False	0.0	ENSG00000236753
chr11	1	1	0.7270866836836	0.134230261635838	-0.2729133163164	0.721	0.369	False	0.0	False	1.25104912318541e-06	False	0.0	ENSG00000278769
chr4	1	175	0.591946759865015	0.14562953507594	-0.408053240134985	0.581	0.38299999999999995	False	0.002	False	0.0017122559312036099	False	0.0	ENSG00000182257
awhole	8	8	0.99869694827923	0.0214632620819456	0.0157407068534188	0.997	0.467	True	0.0	False	3.7557784131614396e-05	False	0.0	ENSG00000274885
awhole	2	43	0.660242191403244	0.0898563302709628	0.0954109922775539	0.626	0.401	True	0.001	False	0.00035891728876325	False	0.0	ENSG00000275216
chr2	1	691	0.75619548688978	0.132470291957184	0.24380451311021997	0.7340000000000001	0.384	True	0.005	False	0.00858316078296206	False	0.0	ENSG00000260274
chr3	1	1	0.748179014942034	0.13290406275642502	0.251820985057966	0.745	0.39	True	0.0	False	2.5920903250487002e-06	False	0.0	ENSG00000280129
awhole	3	994	0.7009798065989311	0.068451528875872	-0.16381159725768898	0.711	0.469	False	0.008000000000000009	False	0.00454354787000932	False	0.0	ENSG00000278932
awhole	5	123	0.21081724805988503	0.0866523609846561	-0.3446440264031839	0.235	0.408	True	0.00600000000000001	False	0.00312872150139365	False	0.0	ENSG00000235919
awhole	4	52	0.233139082457622	0.0877330604823347	0.3255223863059	0.327	0.076	True	0.0	False	0.000430479983466237	False	0.0	ENSG00000279611
chr7	72	1	0.7931330104811222	0.0159688828787403	0.0195501265943159	0.564	0.37799999999999995	True	0.0	False	0.000152712786484877	False	0.0	ENSG00000228526
awhole	2	2	0.6278147745304921	0.10407966936441801	0.40688815179902704	0.494	0.171	True	0.0	False	3.7417606689738e-06	False	0.0	ENSG00000271538
awhole	3	12	0.197073664390491	0.120287152297004	-0.47911722828225894	0.192	0.268	False	0.0	False	0.000142589293307127	False	0.0	ENSG00000279254
