chr.names	query.population	reference.population	relative.distances.ks.p.value	relative.distances.ecdf.deviation.area	relative.distances.ecdf.area.correlation	relative.distances.ecdf.deviation.area.p.value	scaled.absolute.min.distance.sum.p.value	scaled.absolute.min.distance.sum.lower.tail	jaccard.measure.p.value	jaccard.measure.lower.tail	projection.test.p.value	projection.test.lower.tail	projection.test.obs.to.exp	lnc
chr13	1	1	0.137208465912553	0.2183380595877	0.8627915340874471	0.122	0.08199999999999999	True	0.0	False	8.7177533190097e-06	False	0.0	ENSG00000227627
chr1	3	1	0.45948031025661895	0.0799161222060751	0.12260412118765598	0.581	0.34299999999999997	True	0.0	False	0.000195081697833777	False	0.0	ENSG00000258325
awhole	4	9	0.207998568883094	0.0833182104841622	-0.15215597730450198	0.379	0.21899999999999997	False	0.0	False	0.00014973450162947299	False	0.0	ENSG00000260796
awhole	3	2	0.47348230861418605	0.105927919883357	-0.4137998090409579	0.307	0.10400000000000001	False	0.0	False	6.793491687473449e-05	False	0.0	ENSG00000255857
chr4	1	2	0.5924587517062061	0.14562953507594	0.407541248293794	0.5870000000000001	0.441	True	0.0	False	3.645357212545e-05	False	0.0	ENSG00000230606
chr3	117	1	0.3532031967747071	0.0165060887398071	0.0592885162830725	0.292	0.134	True	0.001	False	0.000807425445670251	False	0.0	ENSG00000251136
awhole	17	8	0.510672018342042	0.0391365402865808	-0.08050454909528999	0.39899999999999997	0.33399999999999996	False	0.001	False	0.0022329975135823	False	0.0	ENSG00000182165
awhole	2	151	0.29075326188266803	0.12351099782286999	0.37848248290229797	0.313	0.409	True	0.008000000000000009	False	0.00716720659597425	False	0.0	ENSG00000250682
awhole	2	26	0.49196825862376503	0.0952252508288835	-0.290693419677183	0.611	0.207	False	0.005	False	0.00215737985891484	False	0.0	ENSG00000234155
awhole	61	13	0.276266269809325	0.0227192418196306	0.00176717512262314	0.294	0.43700000000000006	True	0.002	False	0.00258667533775392	False	0.0	ENSG00000279030
chr6	1	1	0.7478903417075351	0.13290406275642502	-0.252109658292465	0.7440000000000001	0.36200000000000004	False	0.0	False	5.48751282295479e-05	False	0.0	ENSG00000279179
chrX	1	230	0.8453983526033508	0.127915314424191	0.154601647396649	0.835	0.354	False	0.003	False	0.00281713329060307	False	0.0	ENSG00000279803
awhole	5	784	0.538723516477825	0.0716610592823159	0.0147925106167104	0.402	0.395	True	0.002	False	0.00101441975399275	False	19.655807798696	ENSG00000259485
chr5	1	22	0.355817033855234	0.17647167964252397	-0.644182966144766	0.34299999999999997	0.07	False	0.001	False	0.00048461960847601105	False	0.0	ENSG00000280035
awhole	5	4	0.12243887535210099	0.10157162033947001	0.351139558792838	0.14300000000000002	0.214	True	0.0	False	0.0005586801263317559	False	0.0	ENSG00000232611
