chr.names	query.population	reference.population	relative.distances.ks.p.value	relative.distances.ecdf.deviation.area	relative.distances.ecdf.area.correlation	relative.distances.ecdf.deviation.area.p.value	scaled.absolute.min.distance.sum.p.value	scaled.absolute.min.distance.sum.lower.tail	jaccard.measure.p.value	jaccard.measure.lower.tail	projection.test.p.value	projection.test.lower.tail	projection.test.obs.to.exp	lnc
awhole	33	11	0.714246067920784	0.0211468635704351	-0.057825785044505	0.6659999999999999	0.293	True	0.002	False	0.00173284125101825	False	0.0	ENSG00000247240
chr2	3	1	0.6791589221457951	0.0743425351473023	0.285737489708076	0.64	0.193	True	0.0	False	3.01367534752961e-05	False	0.0	ENSG00000218537
awhole	6	7	0.3526732255208329	0.0530847120727231	-0.11666126802227801	0.611	0.413	False	0.005	False	0.00171270369649057	False	0.0	ENSG00000255857
chr8	1	1	0.988292834721142	0.12500317424438	0.0117071652788581	0.9740000000000001	0.486	False	0.0	False	2.04838634421112e-05	False	0.0	ENSG00000267892
chr9	1	2	0.27915328047805893	0.18918835437357803	-0.7208467195219409	0.27	0.49700000000000005	False	0.0	False	5.02186799522519e-06	False	0.0	ENSG00000251408
chr18	1	1	0.659366977472676	0.13976953942505801	0.34063302252732397	0.659	0.318	True	0.0	False	5.362478340931179e-06	False	0.0	ENSG00000253854
awhole	64	14	0.0186668455829594	0.0402643931361922	0.160369458645438	0.027000000000000003	0.024	True	0.001	False	0.00144202218828537	False	0.0	ENSG00000281195
awhole	3	2	0.296464257045771	0.104106181145005	-0.38624915637628005	0.295	0.115	False	0.0	False	4.6659047181707395e-05	False	0.0	ENSG00000278864
awhole	3	263	0.585618997551412	0.0756081195204523	-0.27054521089813	0.599	0.475	True	0.004	False	0.00197707461691254	False	0.0	ENSG00000256690
chr11	1	1	0.274245809477714	0.19129124999331895	-0.7257541905222858	0.257	0.11800000000000001	False	0.0	False	6.54394925947432e-06	False	0.0	ENSG00000236859
awhole	2102	20799	0.32475764118315004	0.004909753923080029	0.0193934463196641	0.159	0.0	True	0.001	False	8.970879250114191e-06	False	1.8313883555908999	ENSG00000235531
awhole	12	5	0.111839009677709	0.0633909530502232	-0.253913834212518	0.177	0.0659999999999999	False	0.0	False	0.000152160294498938	False	0.0	ENSG00000261888
awhole	5	23133	0.14851248850342802	0.11412567753208698	0.45437848989085294	0.09699999999999999	0.23199999999999998	False	0.01	False	0.0006240563981386731	False	9.87946425407392	ENSG00000259485
awhole	51	3	0.0401178260614727	0.0501305243742935	0.20074189176176604	0.018000000000000002	0.006	True	0.0	False	0.00018327078236313201	False	0.0	ENSG00000205885
chr5	2	1	0.490077101516496	0.095683863825818	0.22043945017672603	0.586	0.293	True	0.0	False	1.45423838193715e-06	False	0.0	ENSG00000273243
awhole	27	74	0.0406805828846041	0.0625212698482652	0.24993335027436397	0.023	0.002	True	0.005	False	0.0021754027302436398	False	0.0	ENSG00000225092
chr5	1	1	0.627905503930166	0.142319710484705	-0.372094496069834	0.642	0.34	False	0.0	False	6.584837855028171e-05	False	0.0	ENSG00000268649
awhole	8	4	0.602764792209444	0.0503680923312971	0.144894960926293	0.514	0.231	True	0.002	False	8.578446463569642e-05	False	0.0	ENSG00000245648
awhole	3	10	0.5191511468298871	0.0751032990731257	0.103150926511366	0.639	0.414	True	0.001	False	0.00150652820255592	False	0.0	ENSG00000259006
chr15	1	1	0.994137640654429	0.12500317424438	-0.00586235934557067	0.985	0.483	False	0.0	False	8.26541986875817e-06	False	0.0	ENSG00000278879
chr6	3	1	0.3967459648282561	0.111771841843119	0.438832528612284	0.248	0.109	True	0.0	False	6.55127860815785e-06	False	0.0	ENSG00000229325
awhole	5	522	0.5446342777213671	0.0598716953711222	0.181129541589562	0.573	0.073	True	0.01	False	7.794333198685171e-05	False	71.4370942685265	ENSG00000277829
awhole	18	9	0.40545496559043803	0.0448386594367315	0.0105054092015133	0.23800000000000002	0.457	True	0.0	False	0.00031516443136725403	False	0.0	ENSG00000232611
awhole	31	65	0.5632432986134179	0.0203671287666078	0.0734747391425405	0.684	0.013999999999999999	True	0.002	False	0.0038585323426541	False	0.0	ENSG00000259820
awhole	31	56	0.700312886025412	0.0238458791537185	0.0905241885325212	0.5429999999999999	0.21100000000000002	True	0.003	False	0.004589764158897671	False	0.0	ENSG00000235927
chr17	1	17	0.263204089605498	0.193010439242467	-0.7367959103945021	0.265	0.08900000000000001	False	0.0	False	0.000630201929939234	False	0.0	ENSG00000267429
awhole	2	65	0.643221183578249	0.0958910599312241	-0.0614521540055883	0.58	0.311	False	0.001	False	0.00155373210927656	False	0.0	ENSG00000275216
chr10	1	1	0.871395982502563	0.126942596007983	-0.128604017497437	0.846	0.441	False	0.0	False	2.79527059943163e-06	False	0.0	ENSG00000224116
chr15	1	36	0.8824249889658292	0.126942596007983	-0.11757501103417098	0.853	0.214	True	0.0	False	0.0010644350856621198	False	0.0	ENSG00000238062
awhole	3	4903	0.896061120258475	0.0605112757219022	-0.050199974318044994	0.833	0.07	True	0.00700000000000001	False	0.00325479894405678	False	10.006928289688501	ENSG00000236901
awhole	3	84	0.0971102321005231	0.152338690312506	-0.5973671478683461	0.0649999999999999	0.425	False	0.002	False	0.00035473371684591204	False	0.0	ENSG00000278932
awhole	2	81	0.917367753827391	0.0705606589049388	0.0244093857807504	0.899	0.157	False	0.002	False	0.00226908054999231	False	0.0	ENSG00000146521
awhole	2	2	0.0847363890815176	0.18552836233677303	-0.7380749804119431	0.079	0.036000000000000004	False	0.0	False	3.66179576127834e-06	False	0.0	ENSG00000235100
awhole	1488	4196	0.00102826410311185	0.0111897612847467	0.0437161289559254	0.005	0.0	True	0.002	False	8.110601095467909e-05	False	2.51697264740285	ENSG00000228526
awhole	619	18749	0.997958364763979	0.00259659831505178	0.00447794810097601	0.981	0.0	True	0.01	False	0.000402745921543324	False	1.9401592126384801	ENSG00000206337
awhole	3	198	0.952794847105396	0.0502000616048011	-0.011199551995019	0.9309999999999999	0.163	False	0.00600000000000001	False	0.0056834219570997	False	0.0	ENSG00000261087
awhole	2	42	0.627359267953995	0.0870118458687504	0.262750101657327	0.6940000000000001	0.414	True	0.0	False	0.00140796523873954	False	0.0	ENSG00000280119
